id,user_id,text_id,start_offset,end_offset,path,phrase,tagset_id,tag_id
204397,22,VC48-D_FC9B24FF-6BA9-4076-8679-A57010E57E02,1200,1212,מטפוריקה/מטפורה,חופות כבודות,VC48-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC48-CATMA_2AB54B2D-9D10-4B5D-9E15-4A40CF3E710C
204398,22,VC48-D_FC9B24FF-6BA9-4076-8679-A57010E57E02,4115,4125,מטפוריקה/מטפורה,רצים ושבים,VC48-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC48-CATMA_2AB54B2D-9D10-4B5D-9E15-4A40CF3E710C
204399,22,VC48-D_FC9B24FF-6BA9-4076-8679-A57010E57E02,9296,9303,מטפוריקה/סינקדוכה,פני מלך,VC48-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC48-CATMA_E78AC0F0-1025-4129-A345-A5355CE4C9E7
204400,22,VC48-D_FC9B24FF-6BA9-4076-8679-A57010E57E02,4761,4766,כינוי/כינוי פשט,תעודה,VC48-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC48-CATMA_0E667FDA-7960-46E3-B3FE-AC661D569246
204401,22,VC48-D_FC9B24FF-6BA9-4076-8679-A57010E57E02,1364,1375,כינוי/כינוי פשט,שנוני חיצים,VC48-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC48-CATMA_0E667FDA-7960-46E3-B3FE-AC661D569246
204402,22,VC48-D_FC9B24FF-6BA9-4076-8679-A57010E57E02,9199,9217,מטפוריקה/מטפורה,צואת טומאת עוון דם,VC48-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC48-CATMA_2AB54B2D-9D10-4B5D-9E15-4A40CF3E710C
204403,22,VC48-D_FC9B24FF-6BA9-4076-8679-A57010E57E02,1028,1031,מטפוריקה/פרסוניפיקציה,גרש,VC48-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC48-CATMA_C91F9785-8BC1-428A-B86B-B4F536709286
204404,22,VC48-D_FC9B24FF-6BA9-4076-8679-A57010E57E02,4833,4838,כינוי/כינוי פשט,יודעו,VC48-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC48-CATMA_0E667FDA-7960-46E3-B3FE-AC661D569246
204405,22,VC48-D_FC9B24FF-6BA9-4076-8679-A57010E57E02,3222,3230,מטפוריקה/מטפורה,כוס מסוך,VC48-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC48-CATMA_2AB54B2D-9D10-4B5D-9E15-4A40CF3E710C
204406,22,VC48-D_FC9B24FF-6BA9-4076-8679-A57010E57E02,11817,11840,מטפוריקה/מטפורה,משלח לשולחיו צדקה ומרפא,VC48-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC48-CATMA_2AB54B2D-9D10-4B5D-9E15-4A40CF3E710C
204407,22,VC48-D_FC9B24FF-6BA9-4076-8679-A57010E57E02,6674,6680,כינוי/כינוי ציורי,מחנכיו,VC48-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC48-CATMA_0C70F8A9-4166-4AB9-A04F-35BA23723A1E
204408,22,VC48-D_FC9B24FF-6BA9-4076-8679-A57010E57E02,2982,2988,כינוי/כינוי פשט,מצווהו,VC48-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC48-CATMA_0E667FDA-7960-46E3-B3FE-AC661D569246
204409,22,VC48-D_FC9B24FF-6BA9-4076-8679-A57010E57E02,1540,1543,כינוי/כינוי פשט,חלד,VC48-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC48-CATMA_0E667FDA-7960-46E3-B3FE-AC661D569246
204410,22,VC48-D_FC9B24FF-6BA9-4076-8679-A57010E57E02,10607,10620,כינוי/כינוי ציורי,ראש עפרות תבל,VC48-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC48-CATMA_0C70F8A9-4166-4AB9-A04F-35BA23723A1E
204411,22,VC48-D_FC9B24FF-6BA9-4076-8679-A57010E57E02,3523,3530,מטפוריקה/מטפורה,עשו פרי,VC48-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC48-CATMA_2AB54B2D-9D10-4B5D-9E15-4A40CF3E710C
204412,22,VC48-D_FC9B24FF-6BA9-4076-8679-A57010E57E02,5204,5207,כינוי/כינוי ציורי,מלך,VC48-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC48-CATMA_0C70F8A9-4166-4AB9-A04F-35BA23723A1E
204413,22,VC48-D_FC9B24FF-6BA9-4076-8679-A57010E57E02,310,321,מטפוריקה/פרסוניפיקציה,אדר מתהומות,VC48-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC48-CATMA_C91F9785-8BC1-428A-B86B-B4F536709286
204414,22,VC48-D_FC9B24FF-6BA9-4076-8679-A57010E57E02,4466,4488,מטפוריקה/מטפורה,הפתח מקור לערוגת חורב ,VC48-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC48-CATMA_2AB54B2D-9D10-4B5D-9E15-4A40CF3E710C
204415,22,VC48-D_FC9B24FF-6BA9-4076-8679-A57010E57E02,4231,4241,מטפוריקה/מטפורה,דרך החיים ,VC48-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC48-CATMA_2AB54B2D-9D10-4B5D-9E15-4A40CF3E710C
204416,22,VC48-D_FC9B24FF-6BA9-4076-8679-A57010E57E02,2017,2035,דימוי,המשילו כצדיק ומושל,VC48-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC48-CATMA_55563B09-0EA4-4413-B0A4-473046924505
204417,22,VC48-D_FC9B24FF-6BA9-4076-8679-A57010E57E02,7243,7245,כינוי/כינוי ציורי,שר,VC48-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC48-CATMA_0C70F8A9-4166-4AB9-A04F-35BA23723A1E
204418,22,VC48-D_FC9B24FF-6BA9-4076-8679-A57010E57E02,1881,1892,מטפוריקה/מטפורה,חקקו בתבנית,VC48-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC48-CATMA_2AB54B2D-9D10-4B5D-9E15-4A40CF3E710C
204419,22,VC48-D_FC9B24FF-6BA9-4076-8679-A57010E57E02,322,333,מטפוריקה/פרסוניפיקציה,שבח ממאורות,VC48-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC48-CATMA_C91F9785-8BC1-428A-B86B-B4F536709286
204420,22,VC48-D_FC9B24FF-6BA9-4076-8679-A57010E57E02,2654,2660,מטפוריקה/מטפורה,הזריעה,VC48-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC48-CATMA_2AB54B2D-9D10-4B5D-9E15-4A40CF3E710C
204421,22,VC48-D_FC9B24FF-6BA9-4076-8679-A57010E57E02,1123,1127,מטפוריקה/מטפורה,גילה,VC48-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC48-CATMA_2AB54B2D-9D10-4B5D-9E15-4A40CF3E710C
204422,22,VC48-D_FC9B24FF-6BA9-4076-8679-A57010E57E02,8013,8034,דימוי,עטרת ראשו כהוד המלוכה,VC48-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC48-CATMA_55563B09-0EA4-4413-B0A4-473046924505
204423,22,VC48-D_FC9B24FF-6BA9-4076-8679-A57010E57E02,6193,6202,מטפוריקה/מטונימיה,למלא ידם ,VC48-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC48-CATMA_A61BADE0-B9D0-49EC-AA54-B7FB040819DD
